 FIX Rate,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Nama,Capital,Rate,Trans Date,End Date,Annualized CoF,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April
Adit,"12,000,000",17%,18 April 2025,18 April 2026,"14,040,000",,,,0.57%,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,0.85%
,,,,,,,,,,,3.40%,,,,,,,,,,
Jarwo,"15,000,000",12%,23 April 2025,23 April 2026,"16,800,000",,,,0.23%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,0.77%
,,,,,,,,,,Net Present Vaalue,"12,408,000.00",,,,,,,,,,
,,,,,,,,,,Duit yang ditarik,6400000,,,,,,,,,,
Principle Fix Rate,"27,000,000",,,,,,,,,NPV DIa yg terbararau,"6,008,000.00",,,,,,,,,,
CoF Fix Rate,"Rp3,840,000",bunga yang harus dibayarkan galfla,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Floating Rate,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AUM,Website,Gross Profit,% ROI,,,,,,,,,,,
AUM January 2025,"Rp75,000,000","(Ini include principle fix rate, floating rate, dan installment, sama profitnya)",,,,January,8900000,,,,,,,,,,,,,,
AUM Februaary 2025,"Rp85,000,000",Uang investor + profit ,,,,February,10000000,,1100000,12.36%,(ROI diitung dari gross profit bulan tersebut ,,,,,,,,,,
,,,,,,March,12000000,,2000000,20.00%,,,,,,,,,,,
Gross Profit February 2025,"Rp10,000,000",(Selisih AUM bulan february dan january),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Principle Floating Rate,"17,500,000",(modal yang ditaro investor untuk skenario floating rate),,,,,,,,,,,,,,,,,,,
Gross Profit Jatah Untuk Floating,"Rp6,160,000",(Dihitung dari gross profit february dikurang CoF Fix rate),,,,,,,,,,,,,,,,,,,
% Performance dari Floating Rate,35.20%,(Dihitung dari gross profit jatah untuk floating terhadap principle floating rate),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Perhitungan Floating Rate ke investor adalah sebagai berikut:,,,,,,,,,,,,,,,,,,,,,
1. JIKA Performance floating rate lebih dari 24%,,,,,,,,,,,,,,,,,,,,,
Rumusnya adalah 10% + (24%-10%) / 2,1.42%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2. JIKA Performance floating rate kurang dari 24%,,% Performance,10%,,,,,,,,,,,,,,,,,,
Rumusnya adalah % Performance floating / 12,,Floating Rate,0.83%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Since % performance dari floating rate di contoh ini adalah 35.20%, maka",,,,,,,,,,,,,,,,,,,,,
% Floating rate untuk investor February 2025,1.42%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CONTOH:,,,,,,,,,,,,,,,,,,,,,
,,,% Performance dari Floating Rate,,34%,25%,26%,10%,7%,,,,,,,,,,,,
Nama,Capital,Trans Date,End Date,Hurdle Rate,January,February,March,April,May,,,,,,,,,,,,
Adit,"10,000,000",2 February 2025,2 February 2026,10%,,1.32%,1.42%,0.83%,0.58%,,,,,,,,,,,,
Jarwo,7500000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Installment,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1. With Principle + Interest,,,,,,,,CoF,,,,,,,,,,,,,
Account,Capital,Trans Date,Period (Months),End Date,Monthly CoF,Monthly CoF,Monthly Principle,January,February,March,April,May,June,July,,,,,,,
Adit,"Rp50,000,000",5 January 2025,4,5 May 2025,2%,"Rp1,000,000","Rp12,500,000",,"Rp13,500,000","Rp13,500,000","Rp13,500,000","Rp13,500,000",,,,,,,,,
Jarwo,"Rp10,000,000",3 January 2025,6,3 July 2025,2%,"Rp200,000","Rp1,666,667",,"Rp1,866,667","Rp1,866,667","Rp1,866,667","Rp1,866,667","Rp1,866,667","Rp1,866,667",,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2. interest,,,,,,,,CoF,,,,,,,,,,,,,
Account,Capital,Trans Date,Period (Months),End Date,Monthly CoF,Monthly CoF,,January,February,March,April,May,June,July,,,,,,,
Adit,"Rp50,000,000",5 January 2025,4,5 May 2025,2%,"Rp1,000,000",,,"Rp1,000,000","Rp1,000,000","Rp1,000,000","Rp1,000,000",,,,,,,,,
Jarwo,"Rp10,000,000",3 January 2025,6,3 July 2025,2%,"Rp200,000",,,"Rp200,000","Rp200,000","Rp200,000","Rp200,000","Rp200,000","Rp200,000",,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Perhitungan Capital,"Misal awal januari principle Rp1,500,000,000",,,,,,,,,,,,,,,,,,,,
Date,AUM,Inflow,Outflow,Gross Profit %,,,,,,,,,,,,,,,,,
31 Jan,"Rp1,500,000,000",,,,,,,,,,,,,,,,,,,,
28 Feb,"Rp3,500,000,000",,,"Rp2,000,000,000",,,,,,,,,,,,,,,,,
31 Mar,"Rp5,000,000,000","Rp500,000,000",,"Rp1,000,000,000",,,,,,,,,,,,,,,,,
30 Apr,"Rp7,500,000,000",,"Rp1,000,000,000","Rp3,500,000,000",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Simulasi Compound,,Bunga:,"14,166,667",,,,,,,,,,,,,,,,,,
Nama,Capital,Rate,Januari,February,March,April,May,June,July,August,September,October,November,Desember,Total Principle Return Setahun,,,,,,
Adit Bunga Flat,"1,000,000,000",17%,"1,014,166,667","1,028,333,333","1,042,500,000","1,056,666,667","1,070,833,333","1,085,000,000","1,099,166,667","1,113,333,333","1,127,500,000","1,141,666,667","1,155,833,333","1,170,000,000","1,170,000,000",,,,,,
,,Bunga:,1.42%,1.40%,1.38%,1.36%,1.34%,1.32%,1.31%,1.29%,1.27%,1.26%,1.24%,1.23%,,,,,,,
,,,1.42,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Adit Bunga Majemuk,"1,000,000,000",17%,"1,014,166,667",1028534028,1043104927,1057882246,1072868911,1088067888,1103482183,1119114847,1134968974,1151047701,1167354210,1183891728,"1,183,891,728",,,,,,
,,,,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,1.42%,,,,,,,
Adit Bunga Majemuk Ver 2,"1,000,000,000",15.80%,"1,013,169,611",1026512661,1040031433,1053728243,1067605434,1081665383,1095910495,1110343210,1124965998,1139781363,1154791841,1170000000,"1,170,000,000",,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
*Ver 2 ini ratenya dicari dengan berapa persen bunga setap bulan agar hasilnya sama kayak bunga flat,,,,,,,,,,,,,,,,,,,,,
